CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
,33522,TOTAL,"1,761","$822,511.86","$651,076.31",
,,80S,722,"$75,099.15","$59,596.12",
,,OTHER,"1,039","$747,412.71","$591,480.19",
,33523,TOTAL,282,"$153,647.78","$122,283.43",
,,80S,109,"$13,037.48","$10,429.97",
,,OTHER,173,"$140,610.30","$111,853.46",
,33530,TOTAL,"17,354","$5,924,573.08","$4,709,203.96",
,,80S,"6,523","$479,683.46","$382,427.00",
,,OTHER,"10,831","$5,444,889.62","$4,326,776.96",
,33533,TOTAL,"130,448","$147,329,024.77","$116,872,384.72",
,,80S,"52,012","$12,953,455.20","$10,292,441.48",
,,OTHER,"78,436","$134,375,569.57","$106,579,943.24",
,33534,TOTAL,"9,851","$13,428,920.52","$10,656,591.67",
,,80S,"3,906","$1,157,461.48","$918,733.43",
,,OTHER,"5,945","$12,271,459.04","$9,737,858.24",
,33535,TOTAL,"1,972","$3,080,723.75","$2,429,736.89",
,,80S,786,"$265,861.50","$211,546.63",
,,OTHER,"1,186","$2,814,862.25","$2,218,190.26",
,33536,TOTAL,679,"$1,094,500.21","$861,799.94",
,,80S,287,"$102,725.48","$81,726.30",
,,OTHER,392,"$991,774.73","$780,073.64",
,33542,TOTAL,595,"$931,692.37","$739,660.47",
,,80S,225,"$76,766.03","$60,946.49",
,,OTHER,370,"$854,926.34","$678,713.98",
,33545,TOTAL,171,"$317,909.89","$254,111.92",
,,80S,74,"$32,012.24","$25,501.79",
,,OTHER,97,"$285,897.65","$228,610.13",
,33548,TOTAL,220,"$418,609.72","$331,497.87",
,,80S,84,"$35,024.53","$27,912.63",
,,OTHER,136,"$383,585.19","$303,585.24",
,33572,TOTAL,"3,461","$559,124.01","$445,189.47",
,,80S,"1,236","$41,836.97","$33,379.66",
,,OTHER,"2,225","$517,287.04","$411,809.81",
,33600,TOTAL,34,"$26,936.02","$21,548.84",
,,80S,11,"$1,751.03","$1,400.82",
,,OTHER,23,"$25,184.99","$20,148.02",
,33602,TOTAL,39,"$26,071.42","$20,857.12",
,,80S,18,"$2,647.78","$2,118.22",
,,OTHER,21,"$23,423.64","$18,738.90",
,33608,TOTAL,N/A,"$10,612.64","$8,490.11",
,,80S,0,$0.00,$0.00,
,,OTHER,N/A,"$10,612.64","$8,490.11",
,33610,TOTAL,N/A,"$7,551.79","$6,041.43",
,,80S,N/A,$301.64,$241.31,
,,OTHER,N/A,"$7,250.15","$5,800.12",
,33611,TOTAL,N/A,"$2,486.97","$1,989.58",
,,80S,N/A,$568.74,$455.00,
,,OTHER,N/A,"$1,918.23","$1,534.58",
,33612,TOTAL,N/A,"$1,758.20","$1,406.56",
,,OTHER,N/A,"$1,758.20","$1,406.56",
,33615,TOTAL,18,"$20,095.62","$16,076.51",
